Timestamp,Age,Gender,Soccer_Club,Happiness
10/30/2023 19:49:57,17,Male,Real_Madrid,9
10/30/2023 19:50:08,16,Male,Liverpool,8
10/30/2023 19:50:35,16,Male,Barcelona,9
10/30/2023 19:50:46,18,Male,Manchester_United,10
10/30/2023 19:51:47,19,Male,Manchester_City,10
10/30/2023 19:52:06,19,Male,Liverpool,3
10/30/2023 19:52:18,25,Male,Real_Madrid,10
10/30/2023 19:52:39,18,Male,Barcelona,7
10/30/2023 19:54:36,19,Male,Real_Madrid,8
10/30/2023 19:55:39,19,Male,Barcelona,10
10/30/2023 19:55:42,19,Male,Barcelona,8
10/30/2023 19:55:47,18,Male,Liverpool,5
10/30/2023 19:55:52,19,Male,Barcelona,10
10/30/2023 19:56:18,19,Male,Arsenal,9
10/30/2023 19:56:28,19,Male,Chelsea,2
10/30/2023 19:56:35,20,Male,Manchester_City,9
10/30/2023 19:56:42,18,Male,Chelsea,3
10/30/2023 19:56:56,18,Male,Chivas,6
10/30/2023 19:58:00,22,Male,Real_Madrid,7
10/30/2023 19:58:05,17,Male,Real_Madrid,10
10/30/2023 19:58:40,20,Male,Manchester_City,10
10/30/2023 19:58:56,19,Male,Chelsea,10
10/30/2023 19:59:05,21,Male,N/A,7
10/30/2023 19:59:07,18,Male,Arsenal,9
10/30/2023 20:02:55,17,Male,Manchester_United,7
10/30/2023 20:11:08,16,Male,Barcelona,8
10/30/2023 20:12:25,16,Female,Manchester_City,8
10/30/2023 20:14:53,17,Female,Chivas,10
10/30/2023 20:15:14,19,Female,Spurs,6
10/30/2023 20:15:30,21,Female,Real_Madrid,7
10/30/2023 20:15:32,20,Female,Real_Madrid,10
10/30/2023 20:15:45,22,Female,Chelsea,5
10/30/2023 20:15:59,16,Female,Manchester_United,7
10/30/2023 20:18:00,19,Male,Barcelona,10
10/30/2023 20:19:11,19,Male,Spurs,9
10/30/2023 20:22:43,22,Male,Real_Madrid,10
10/30/2023 20:28:12,14,Male,Liverpool,9
10/30/2023 20:28:18,14,Male,Barcelona,10
10/30/2023 20:28:57,14,Male,Real_Madrid,7
10/30/2023 20:29:58,14,Male,Manchester_City,10
10/30/2023 20:30:15,13,Male,Chivas,5
10/30/2023 20:30:21,13,Male,Real_Madrid,10
10/30/2023 20:36:56,13,Male,Real_Madrid,8
10/30/2023 20:37:09,19,Male,Real_Madrid,10
10/30/2023 20:37:24,19,Male,Barcelona,8
10/30/2023 20:42:35,15,Male,Barcelona,6
10/30/2023 20:42:36,19,Female,Real_Madrid,8
10/30/2023 20:45:00,18,Male,Barcelona,7
10/30/2023 20:51:57,18,Male,Barcelona,9
10/30/2023 21:11:12,18,Male,Barcelona,9
10/30/2023 21:13:44,26,Male,Arsenal,9
10/30/2023 21:27:52,19,Male,Real_Madrid,7
10/30/2023 21:39:43,26,Female,Arsenal,8
10/30/2023 22:00:47,18,Female,Manchester_City,9
10/30/2023 22:01:07,19,Female,Manchester_United,6
10/30/2023 22:18:24,19,Female,Spurs,5
10/30/2023 23:52:27,19,Male,Barcelona,6
10/31/2023 8:40:48,19,Male,Spurs,9
10/31/2023 9:55:28,17,Male,N/A,6
10/31/2023 10:02:49,19,Female,N/A,8
10/31/2023 10:26:29,19,Male,Chivas,6
10/31/2023 10:50:13,18,Female,N/A,9
10/31/2023 10:57:44,18,Male,N/A,5
10/31/2023 11:12:47,19,Female,N/A,6
10/31/2023 12:36:14,18,Female,Real_Madrid,7
10/31/2023 14:11:33,22,Male,N/A,8
10/31/2023 15:41:34,19,Male,N/A,10
10/31/2023 17:39:50,24,Male,Chivas,3
10/31/2023 17:40:09,17,Male,Real_Madrid,7
10/31/2023 17:40:29,22,Female,Real_Madrid,8
10/31/2023 17:41:28,17,Female,N/A,8
10/31/2023 17:41:46,17,Female,N/A,10
10/31/2023 17:42:05,22,Male,Arsenal,8
10/31/2023 17:42:31,22,Male,Chelsea,4
10/31/2023 17:42:45,22,Female,Chelsea,6
10/31/2023 17:47:56,16,Male,Real_Madrid,7
10/31/2023 17:48:39,17,Female,Liverpool,6
10/31/2023 17:48:56,19,Male,Barcelona,8
10/31/2023 17:49:20,16,Female,Manchester_United,7
10/31/2023 17:49:36,18,Female,Chivas,7
10/31/2023 17:49:52,15,Male,Real_Madrid,7
10/31/2023 17:52:22,17,Female,Real_Madrid,8
10/31/2023 17:53:22,17,Male,Chelsea,5
10/31/2023 17:53:36,20,Female,Barcelona,9
10/31/2023 17:53:50,14,Male,Real_Madrid,7
10/31/2023 17:56:02,16,Male,Barcelona,8
10/31/2023 17:56:13,18,Female,Chivas,8
10/31/2023 17:56:37,21,Male,PSG,6
10/31/2023 18:00:11,15,Male,Arsenal,8
10/31/2023 18:00:30,15,Female,Manchester_City,9
10/31/2023 18:01:24,16,Male,Real_Madrid,10
10/31/2023 18:02:14,15,Male,Spurs,8
10/31/2023 18:02:40,15,Male,Miami,8
10/31/2023 18:03:52,15,Male,Liverpool,7
10/31/2023 18:04:05,16,Male,PSG,9
10/31/2023 18:04:16,17,Male,Miami,9
10/31/2023 18:04:26,15,Male,PSG,8
10/31/2023 18:04:44,16,Male,Miami,6
10/31/2023 18:05:20,24,Male,Barcelona,7
10/31/2023 18:05:37,22,Female,Barcelona,8
10/31/2023 18:06:01,21,Female,Barcelona,9
10/31/2023 18:06:26,14,Male,Spurs,7
10/31/2023 20:46:41,18,Female,N/A,4
11/1/2023 15:22:20,20,Male,Manchester_United ,6